Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,latitude,longitude
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,33.88655895,-117.8432499
Acute Care Hospitals,Proprietary,Yes,Y,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,38.4630213,-121.4163489
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,34.132921,-117.8714668
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,38.5526924,-121.45179
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,33.6085233,-117.7092831
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,37.2398065,-121.8002692
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,35.76202,-119.2393129
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,,
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,34.24352825,-119.0198741
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,34.39823345,-118.5530872
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,34.0751604,-118.3810936
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,35.5551414,-120.7200585
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,32.9968699,-117.05802
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,34.02316025,-118.1843731
Acute Care Hospitals,Government - State,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.0191797,-118.1864606
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,37.7494814,-122.4572747
Acute Care Hospitals,Proprietary,Yes,Y,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,,
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Below the national average,,
Acute Care Hospitals,Proprietary,Yes,Y,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,33.70010835,-117.9556825
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,37.0365649,-121.5717815
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Not Available,37.7764311,-121.9587823
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,,
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,34.0627257,-118.2018882
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,40.58587755,-122.4167848
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,34.22036305,-118.456474
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,36.8249141,-119.7821616
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,34.47175035,-117.297825
Acute Care Hospitals,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,,
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,,
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,35.3849601,-119.0399058
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,37.6644732,-120.9583951
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,,
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.9500316,-118.0038571
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available,34.04980485,-118.1380853
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,34.068338,-118.123734
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,34.04792215,-118.0434298
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Not Available,Same as the national average,33.95046115,-118.3483066
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,33.9821785,-118.4394152
Critical Access Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available,34.05725195,-118.3602916
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,33.8205041,-117.9096302
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.78868755,-117.8267607
Childrens,Proprietary,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.75395285,-117.8330375
Childrens,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.7111287,-117.884372
Childrens,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37.797942,-121.2471238
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,37.4615473,-122.1590573
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,34.1602086,-118.4494335
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,,
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,34.07903925,-117.6957995
Acute Care Hospitals,Government - State,Yes,Y,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,34.17054745,-118.5327788
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,34.0694226,-118.2636071
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,40.58518165,-122.3876282
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,39.1320368,-121.613306
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,33.61476705,-117.1685801
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,33.91230675,-118.0984748
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,37.7133406,-122.1425658
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,33.4810738,-117.1061698
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,33.80711185,-118.1930708
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Above the national average,34.0491211,-117.263821
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,33.7302231,-117.8282553
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,38.3972568,-122.8193167
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,34.0976081,-117.7469735
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,36.6091128,-118.0580246
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37.64327655,-118.9627222
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,37.50042955,-119.9776785
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,41.0233342,-121.4241159
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Above the national average,39.52141095,-122.2081363
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,33.3391574,-118.3307676
Acute Care Hospitals,Government - Local,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,,
Acute Care Hospitals,Government - Local,Yes,Y,2,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,40.101622,-123.792503
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,39.4004353,-123.3510613
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,51.46576425,0.221284161
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,Same as the national average,Not Available,34.2656968,-117.1681026
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,,
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,33.4663468,-82.01761138
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,41.71955,-122.6458641
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,38.93527535,-122.6199501
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Above the national average,Below the national average,Above the national average,Below the national average,Above the national average,40.58164295,-124.1363125
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,41.31835945,-122.3207064
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,40.43740595,-120.6281488
Acute Care Hospitals,Voluntary non-profit - Private,No,,3,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available,Below the national average,38.6272875,-122.8648825
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,34.83282965,-114.6174519
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,37.362048,-118.4055188
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,39.4317908,-123.800497
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39.9398008,-120.9615329
Critical Access Hospitals,Government - Hospital District or Authority,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,39.32498075,-120.2013632
Critical Access Hospitals,Government - Hospital District or Authority,Yes,,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,39.1048229,-122.9075915
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Same as the national average,41.4801377,-120.5453854
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,38.1902534,-120.6696492
Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,35.64129245,-117.6711497
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,34.4432566,-119.2643844
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,34.24649945,-116.8886396
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,36.8841045,-119.8015132
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,37.83679355,-122.2670842
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,34.0976912,-118.2900801
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,32.7982304,-117.1521134
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,33.7809052,-117.8660899
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,,
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available,33.8086158,-118.1860441
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,31.218115,-85.36743089
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.22140165,-86.16096018
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Same as the national average,Same as the national average,34.7946245,-87.68303583
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31.2928787,-86.2549003
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31.6937493,-86.2647016
Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,33.5953153,-86.66763067
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Not Available,Not Available,34.44201305,-85.756881
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,33.2526682,-86.81296819
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Not Available,Same as the national average,33.5037458,-86.80271943
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Not Available,Same as the national average,Below the national average,Not Available,Not Available,Not Available,,
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available,31.4511675,-85.63206235
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,34.1620222,-85.65113601
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,30.13846595,-81.5345788
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,,
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,32.640725,-85.40381836
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available,33.31128795,-85.48548451
Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,30.6983099,-88.07745726
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,14.02091845,121.5975541
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,34.2012534,-86.80481386
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,31.2958801,-86.49431124
Childrens,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.668161,-85.82380499
Childrens,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.7204666,-86.58096415
Childrens,Voluntary non-profit - Private,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.00778505,-85.96630958
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,39.48186935,-80.1650723
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,33.4495051,-84.47825956
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,34.0041099,-86.00333589
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,31.6362696,-86.7430287
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,31.318425,-85.8546888
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,31.1541117,-88.56299523
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,32.8187446,-85.74108716
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,31.2374957,-85.4561708
Acute Care Hospitals,Government - Local,Yes,Y,3,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,33.50749325,-86.78806757
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,32.9513204,-87.14820514
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,34.48331015,-87.28525251
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,34.66174945,-86.04764536
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,31.0489116,-85.89202133
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,36.89870795,-82.07863148
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,31.88880275,-85.15637324
Acute Care Hospitals,Government - Local,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,33.2774286,-85.82383708
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,33.6553544,-85.82375973
Acute Care Hospitals,Proprietary,Yes,Y,3,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,34.80425355,-86.97885129
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,30.42596475,-87.6843882
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,26.26305035,-80.20286464
