Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Not Available,Below the national average,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Government - State,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Government - State,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,,2,Same as the national average,Same as the national average,Same as the national average,Not Available,Below the national average,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Government - State,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Childrens,Government - State,Yes,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Not Available,Below the national average,Not Available,Below the national average,Same as the national average,Above the national average,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,1,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Government - State,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Government - Local,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,3,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Below the national average
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Below the national average,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,No,Y,5,Not Available,Above the national average,Not Available,Above the national average,Same as the national average,Not Available,Same as the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Government - Local,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Not Available
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Childrens,Voluntary non-profit - Private,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Above the national average
Acute Care Hospitals,Government - Federal,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Government - Federal,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Government - Federal,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available
Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Not Available
Acute Care Hospitals,Proprietary,No,Y,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Not Available
Acute Care Hospitals,Physician,No,Y,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,No,Y,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Physician,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Government - Local,Yes,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,No,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Childrens,Voluntary non-profit - Private,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Physician,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available
Acute Care Hospitals,Government - Local,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Below the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Government - Local,Yes,Y,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Below the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average,Below the national average,Above the national average
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Above the national average,Not Available
Acute Care Hospitals,Proprietary,Yes,Y,3,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
